"wcmoid","wcmograssshare","H_temp_mallard","H_temp_gadwall","H_temp_bwt","H_temp_ns","H_temp_np","H_seasonal_mallard","H_seasonal_gadwall","H_seasonal_bwt","H_seasonal_ns","H_seasonal_np","H_semiper_mallard","H_semiper_gadwall","H_semiper_bwt","H_semiper_ns","H_semiper_np"
1,0.160973614,4.30446551828464,5.57821871107004,9.14837221198341,1.59452492480326,6.28993297059642,1.18241088287081,6.06812834768728,11.7606602191766,2.50252570477514,2.3931503070693,0.110425206240768,0.611236802291637,5.77067758117421,0.505036919420012,0.414571858222486
2,0.137541215,8.35872702235668,10.8372138206155,17.7722865475805,3.09763444673814,12.2184984659236,2.2999413383447,11.787675952032,22.8506523303673,4.86221567362904,4.64868877833417,0.214597505881919,1.18744015967846,11.2071730143095,0.980905354530972,0.805074041745739
3,0.207558733,4.68746235147422,6.07473029837998,9.96325798656913,1.7365589667651,6.85065038096282,1.28788394649213,6.60858444120306,12.8089911545749,2.7255945850536,2.6065965888111,0.120294309021671,0.665781411144478,6.28634263535723,0.550172479241032,0.451647071914935
4,0.152719018,3.58022312894192,4.6392797769016,7.60841039076633,1.32611522288247,5.2310485186096,0.983081528595524,5.04636481012031,9.77981219337892,2.08103483232908,1.99010339079575,0.0918150003991004,0.508260109677247,4.79860318752307,0.419956787997607,0.344731867150567
5,0.243153527,4.20807671997432,5.45436852582326,8.93126846494454,1.55661739724964,6.12902678209668,1.15402739901209,5.9226210585029,11.4640076185584,2.4393070563239,2.32839127683158,0.107250905160115,0.594591123937146,5.59743088607615,0.489842921873808,0.401356860519618
6,0.217599833,3.38845124175505,4.39037600353815,7.20301003038897,1.25546860585017,4.95453023048614,0.930495933065096,4.77674192617685,9.25993062320459,1.97043090959273,1.8851663871345,0.0870097400210422,0.481439060952392,4.54901729613921,0.398118728738128,0.326949254119126
7,0.19292072,3.20798092515256,4.15670284596759,6.81735181164544,1.18823856815847,4.68744512383123,0.880762632448331,4.52169144567477,8.76313673889436,1.86470481495716,1.78335422970458,0.0822808829111089,0.455464858992205,4.30073640594371,0.37638325798057,0.308983963314542
8,0.122237989,4.43414861160401,5.74640452819326,9.42347290121213,1.64247030593029,6.4784499855167,1.21786037190822,6.24978943599635,12.1120514620346,2.57729010544265,2.4644020461348,0.113695920996561,0.629373152861547,5.94107792986047,0.519949746591853,0.426771798974112
9,0.193942453,5.55582025491686,7.20079270527003,11.8095186619227,2.05835219070054,8.1195490067479,1.52675522792621,7.83209167735046,15.180555629651,3.23021138313503,3.0888657656307,0.14255165549158,0.788915981230509,7.44811061282841,0.651859075079968,0.535075780338971
10,0.1652798,3.41901656131485,4.43029158418392,7.26541044799522,1.2663302678498,4.99495169555351,0.938587408889808,4.81821647083905,9.33722464598717,1.9868571491525,1.89995145049392,0.0876482161648681,0.485199116951339,4.58076534091808,0.400890590418515,0.329064619751207
